,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0010927,GO:0010927,cellular component assembly involved in morphogenesis,13/567,126/18614,0.000124581,0.0065242,0.005395397,MYLK3/ITGB4/FLNC/MAG/UGT8/MOBP/LDB3/CD9/PHLDB1/EDN1/CSRP2/PIKFYVE/PALS1,13
GO:0048846,GO:0048846,axon extension involved in axon guidance,7/567,38/18614,0.000130173,0.006581975,0.005443176,SEMA3B/SEMA4A/SEMA5A/NRP2/PLXNA4/NRP1/SEMA3C,7
GO:0051385,GO:0051385,response to mineralocorticoid,7/567,38/18614,0.000130173,0.006581975,0.005443176,FOS/SGK1/FOSB/CCN2/MAOB/EDN1/CCND1,7
GO:1902284,GO:1902284,neuron projection extension involved in neuron projection guidance,7/567,38/18614,0.000130173,0.006581975,0.005443176,SEMA3B/SEMA4A/SEMA5A/NRP2/PLXNA4/NRP1/SEMA3C,7
GO:0007160,GO:0007160,cell-matrix adhesion,19/567,239/18614,0.000140153,0.007006036,0.005793868,CD44/SERPINE1/ITGB4/CD36/ADAMTS9/ITGA2/STON1/S100A10/CCN2/ITGAX/ECM2/JAG1/FN1/ITGA7/ITGAV/NRP1/PEAK1/SDC4/RIN2,19
GO:1904705,GO:1904705,regulation of vascular associated smooth muscle cell proliferation,11/567,95/18614,0.000146723,0.00725206,0.005997325,LDLRAP1/APLN/JUN/DDR2/CALCRL/BMPR1A/EDN1/FRS2/PRKG1/ADAMTS1/NR4A3,11
GO:0021561,GO:0021561,facial nerve development,4/567,10/18614,0.000154542,0.007389483,0.006110971,EGR2/NRP2/PLXNA4/NRP1,4
GO:0021604,GO:0021604,cranial nerve structural organization,4/567,10/18614,0.000154542,0.007389483,0.006110971,EGR2/NRP2/PLXNA4/NRP1,4
GO:0021610,GO:0021610,facial nerve morphogenesis,4/567,10/18614,0.000154542,0.007389483,0.006110971,EGR2/NRP2/PLXNA4/NRP1,4
GO:1905954,GO:1905954,positive regulation of lipid localization,12/567,112/18614,0.000157202,0.007435802,0.006149276,LIPG/NMB/SPP1/CD36/C1QTNF1/ABCA8/LDLRAP1/NFKBIA/PLIN3/CAV1/LPL/EDN1,12
GO:0010543,GO:0010543,regulation of platelet activation,8/567,52/18614,0.000162897,0.007580816,0.0062692,ADAMTS18/PDPN/C1QTNF1/CD9/IL6ST/PRKG1/PRKCA/SERPINE2,8
GO:0045667,GO:0045667,regulation of osteoblast differentiation,14/567,147/18614,0.000163714,0.007580816,0.0062692,LTF/WWTR1/CEBPD/ID3/SMOC1/CCN1/SFRP2/GDPD2/JAG1/DDR2/BMPR1A/TWSG1/IL6ST/SMAD5,14
GO:0050771,GO:0050771,negative regulation of axonogenesis,9/567,66/18614,0.000166998,0.007652348,0.006328355,SPP1/MAG/SEMA3B/MBP/SEMA4A/SEMA5A/NTN1/NRP1/SEMA3C,9
GO:0001894,GO:0001894,tissue homeostasis,20/567,263/18614,0.000172133,0.007707392,0.006373876,LTF/SERPINA3/CD38/ANGPT1/USH1C/TJP2/SPP1/TF/WWTR1/PDK4/IL20RA/ALDH1A1/CCN2/MBP/JAM2/BARD1/PTGS2/PRKCA/WNK3/CLCN3,20
GO:0060249,GO:0060249,anatomical structure homeostasis,20/567,263/18614,0.000172133,0.007707392,0.006373876,LTF/SERPINA3/CD38/ANGPT1/USH1C/TJP2/SPP1/TF/WWTR1/PDK4/IL20RA/ALDH1A1/CCN2/MBP/JAM2/BARD1/PTGS2/PRKCA/WNK3/CLCN3,20
GO:0030856,GO:0030856,regulation of epithelial cell differentiation,15/567,166/18614,0.00017404,0.007707392,0.006373876,FOXJ1/SERPINE1/WWTR1/S1PR3/SFRP4/JAG1/CAV1/PAX6/CD109/APOLD1/HEY2/ZDHHC21/ID1/CCND1/SPRY2,15
GO:0014909,GO:0014909,smooth muscle cell migration,11/567,97/18614,0.00017696,0.007707392,0.006373876,SERPINE1/ITGA2/DOCK5/TRIB1/DDR2/BMPR1A/PRKG1/ADAMTS1/NRP1/PARVA/NR4A3,11
GO:1990874,GO:1990874,vascular associated smooth muscle cell proliferation,11/567,97/18614,0.00017696,0.007707392,0.006373876,LDLRAP1/APLN/JUN/DDR2/CALCRL/BMPR1A/EDN1/FRS2/PRKG1/ADAMTS1/NR4A3,11
GO:0022604,GO:0022604,regulation of cell morphogenesis,19/567,245/18614,0.000193223,0.008333205,0.006891412,CD44/SPARC/CCL2/PDPN/ENPP2/ERMN/CDC42EP1/RHOU/RHOG/HPN/SEMA4A/EPS8/PLXNA4/LARP4/ARC/FN1/ITGA7/PARVA/FGD4,19
GO:0007517,GO:0007517,muscle organ development,24/567,351/18614,0.00020625,0.008808683,0.007284624,FOS/EGR2/ID3/NUPR1/ERBB3/ELN/BTG2/EGR1/SOX8/ATF3/NR4A1/CAV1/EGR3/SGCB/BMPR1A/MYLK/PKP2/SOX6/IGF2/ITGA7/FHL1/HEY2/EVC/TCF12,24
GO:0010544,GO:0010544,negative regulation of platelet activation,5/567,19/18614,0.000210146,0.008861356,0.007328184,ADAMTS18/C1QTNF1/CD9/PRKG1/SERPINE2,5
GO:0048661,GO:0048661,positive regulation of smooth muscle cell proliferation,11/567,99/18614,0.000212323,0.008861356,0.007328184,ITGA2/LDLRAP1/JUN/DDR2/CALCRL/BMPR1A/EDN1/PTGS2/FRS2/ADAMTS1/NR4A3,11
GO:0009409,GO:0009409,response to cold,8/567,54/18614,0.000213527,0.008861356,0.007328184,FOS/PLIN1/GMPR/HSPA2/NFKBIA/VGF/LPL/TMEM135,8
GO:0007015,GO:0007015,actin filament organization,28/567,442/18614,0.000227109,0.009336956,0.007721496,USH1C/KANK4/TF/DAAM2/SCIN/ERMN/MYO1E/ELN/S100A10/CCN2/EFS/RHOG/GDPD2/SEMA5A/PLEKHH2/EPS8/ARHGAP12/GMFB/TTC8/PAWR/CALD1/TWF1/MYO5C/NRP1/JMY/SDC4/AP1AR/ID1,28
GO:0032535,GO:0032535,regulation of cellular component size,24/567,354/18614,0.000234054,0.009518191,0.007871375,AQP1/USH1C/KANK4/SPP1/DAAM2/MAG/SEMA3B/SCIN/ELN/SEMA4A/SEMA5A/RND2/NTN1/PLEKHH2/EPS8/PLXNA4/EDN1/FN1/TWF1/ARHGAP5/NRP1/WNK3/CLCN3/SEMA3C,24
GO:0014015,GO:0014015,positive regulation of gliogenesis,9/567,69/18614,0.000235845,0.009518191,0.007871375,EGR2/NKX6-2/MAG/SOX10/ZNF488/SOX8/NTN1/IL6ST/SERPINE2,9
GO:0030193,GO:0030193,regulation of blood coagulation,9/567,70/18614,0.000263455,0.010535824,0.008712939,SERPINE1/ADAMTS18/CD36/C1QTNF1/CD9/CAV1/EDN1/PRKG1/SERPINE2,9
GO:0003215,GO:0003215,cardiac right ventricle morphogenesis,5/567,20/18614,0.000273213,0.010827617,0.008954247,PPP1R13L/JAG1/BMPR1A/HEY2/SEMA3C,5
GO:0050770,GO:0050770,regulation of axonogenesis,14/567,155/18614,0.000284971,0.011192746,0.009256202,SPP1/MAG/SEMA3B/MBP/KIF13B/SEMA4A/SEMA5A/RND2/NTN1/PLXNA4/FN1/NRP1/SKIL/SEMA3C,14
GO:0043410,GO:0043410,positive regulation of MAPK cascade,30/567,495/18614,0.000293283,0.011417268,0.009441878,CD44/ANGPT1/CCL2/GADD45G/CD36/C1QTNF1/GPR37/FGF1/CCN2/CD74/AR/ADRA1A/GLIPR2/FZD7/ANKRD6/JUN/INHBA/DDR2/PLCE1/FLT1/EDN1/PDGFC/IGF2/BCAR3/FRS2/GSDME/TPD52L1/NRP1/PRKCA/SPRY2,30
GO:0043010,GO:0043010,camera-type eye development,23/567,338/18614,0.000297626,0.011484719,0.009497659,AQP1/PPP1R13L/USH1C/EFEMP1/SOX8/JUN/INHBA/JAG1/CLIC4/PAX6/TWSG1/TTC8/FLT1/BCAR3/FRS2/CRYBG3/MITF/NRP1/SKIL/SPRY2/TMEM135/MAN2A1/MEGF11,23
GO:0071774,GO:0071774,response to fibroblast growth factor,12/567,120/18614,0.000301205,0.011521729,0.009528265,CD44/CCL2/FGF1/CCN2/IER2/APLN/SHISA2/HHIP/NR4A1/EGR3/FRS2/SPRY2,12
GO:2001236,GO:2001236,regulation of extrinsic apoptotic signaling pathway,14/567,156/18614,0.000304519,0.011548099,0.009550073,SERPINE1/SRPX/SFRP2/AR/MAL/ATF3/RFFL/INHBA/HSPA1B/CAV1/SCG2/ITGAV/NRP1/SKIL,14
GO:0048145,GO:0048145,regulation of fibroblast proliferation,10/567,87/18614,0.000309482,0.011623442,0.00961238,AQP1/NUPR1/CD74/JUN/DDR2/CAV1/PAWR/PDGFC/FN1/BMI1,10
GO:0060560,GO:0060560,developmental growth involved in morphogenesis,18/567,234/18614,0.00031179,0.011623442,0.00961238,SPP1/MAG/SEMA3B/FGF1/SFRP2/SEMA4A/SEMA5A/RND2/NTN1/NRP2/PLXNA4/EDN1/FN1/PRKG1/NRP1/NRN1/SPRY2/SEMA3C,18
GO:1900046,GO:1900046,regulation of hemostasis,9/567,72/18614,0.000326739,0.011991277,0.009916572,SERPINE1/ADAMTS18/CD36/C1QTNF1/CD9/CAV1/EDN1/PRKG1/SERPINE2,9
GO:0048660,GO:0048660,regulation of smooth muscle cell proliferation,15/567,176/18614,0.000329293,0.011991277,0.009916572,ITGA2/ELN/LDLRAP1/APLN/TRIB1/JUN/DDR2/CALCRL/BMPR1A/EDN1/PTGS2/FRS2/PRKG1/ADAMTS1/NR4A3,15
GO:0009612,GO:0009612,response to mechanical stimulus,17/567,215/18614,0.000329835,0.011991277,0.009916572,AQP1/FOS/MAG/ITGA2/FOSB/PIEZO2/KCNA5/BTG2/NFKBIA/HPN/JUN/DDR2/BAG3/EDN1/PTGS2/USP53/SERPINE2,17
GO:0060485,GO:0060485,mesenchyme development,22/567,320/18614,0.000347381,0.012525634,0.010358477,APLNR/PDPN/WWTR1/SEMA3B/ERBB3/SFRP2/SOX10/SOX8/GLIPR2/HPN/PHLDB1/SEMA4A/SEMA5A/JAG1/BMPR1A/NRP2/EDN1/FN1/NRP1/HEY2/SPRY2/SEMA3C,22
GO:0061387,GO:0061387,regulation of extent of cell growth,11/567,105/18614,0.000356257,0.012741241,0.010536779,SPP1/MAG/SEMA3B/SEMA4A/SEMA5A/RND2/NTN1/PLXNA4/FN1/NRP1/SEMA3C,11
GO:0070527,GO:0070527,platelet aggregation,9/567,73/18614,0.0003628,0.012870636,0.010643787,ADAMTS18/PDPN/C1QTNF1/CD9/P2RY12/IL6ST/PRKG1/PRKCA/SERPINE2,9
GO:0048483,GO:0048483,autonomic nervous system development,7/567,45/18614,0.000389361,0.013702398,0.01133164,EGR2/SOX10/SOX8/NRP2/PLXNA4/FN1/NRP1,7
GO:0014910,GO:0014910,regulation of smooth muscle cell migration,10/567,90/18614,0.00040797,0.014243328,0.011778979,SERPINE1/ITGA2/DOCK5/TRIB1/DDR2/BMPR1A/PRKG1/ADAMTS1/NRP1/NR4A3,10
GO:0048659,GO:0048659,smooth muscle cell proliferation,15/567,180/18614,0.000418646,0.014397287,0.0119063,ITGA2/ELN/LDLRAP1/APLN/TRIB1/JUN/DDR2/CALCRL/BMPR1A/EDN1/PTGS2/FRS2/PRKG1/ADAMTS1/NR4A3,15
GO:0003279,GO:0003279,cardiac septum development,11/567,107/18614,0.000419533,0.014397287,0.0119063,DNAH11/APLNR/CCN1/JAG1/BMPR1A/NRP2/FRS2/NRP1/PARVA/HEY2/SEMA3C,11
GO:0051085,GO:0051085,chaperone cofactor-dependent protein refolding,6/567,33/18614,0.000427364,0.014397287,0.0119063,HSPA2/CD74/HSPA1B/DNAJB4/HSPH1/HSPA13,6
GO:0007264,GO:0007264,small GTPase mediated signal transduction,29/567,483/18614,0.000428744,0.014397287,0.0119063,LPAR4/RRAD/PDPN/RTKN/RASGRP3/RHOU/DOCK5/RHOG/ADRA1A/PLEKHG3/MMD2/PLCE1/PLEKHG1/RND2/NTN1/EPS8/ARHGAP12/RAB30/ARHGAP5/BCAR3/ITGAV/ARHGEF28/NRP1/RAP2A/FGD4/RIN2/PPP2CB/RASGRF2/SPRY2,29
GO:0051051,GO:0051051,negative regulation of transport,29/567,483/18614,0.000428744,0.014397287,0.0119063,KCNE5/ANGPT1/NMB/SLC6A9/RRAD/CD36/GEM/ERBB3/SFRP4/SYTL4/SPX/CD74/FABP5/ACVR1C/INHBA/CAV1/BARD1/SLC30A1/BAG3/MAOB/CTTNBP2NL/PKIA/EDN1/PTGS2/STXBP6/ITGAV/SERPINE2/SESTD1/RAB23,29
GO:0010811,GO:0010811,positive regulation of cell-substrate adhesion,12/567,125/18614,0.000438772,0.014622412,0.012092475,CCDC80/CD36/ABI3BP/CCN1/S100A10/DOCK5/FBLN2/ECM2/FN1/NRP1/SDC4/RIN2,12
GO:0050818,GO:0050818,regulation of coagulation,9/567,75/18614,0.000444797,0.014664493,0.012127274,SERPINE1/ADAMTS18/CD36/C1QTNF1/CD9/CAV1/EDN1/PRKG1/SERPINE2,9
GO:0030517,GO:0030517,negative regulation of axon extension,7/567,46/18614,0.000447347,0.014664493,0.012127274,MAG/SEMA3B/SEMA4A/SEMA5A/NTN1/NRP1/SEMA3C,7
GO:0003007,GO:0003007,heart morphogenesis,19/567,262/18614,0.000450036,0.014664493,0.012127274,PPP1R13L/DNAH11/NPY2R/APLNR/CCN1/SFRP2/ELN/VANGL2/JUN/JAG1/BMPR1A/NRP2/PKP2/EDN1/ADAMTS1/NRP1/PARVA/HEY2/SEMA3C,19
GO:0014013,GO:0014013,regulation of gliogenesis,11/567,108/18614,0.000454545,0.014702529,0.01215873,EGR2/NKX6-2/DAAM2/MAG/SOX10/ZNF488/SOX8/NTN1/LDLR/IL6ST/SERPINE2,11
GO:0003231,GO:0003231,cardiac ventricle development,12/567,126/18614,0.000471845,0.015150695,0.012529356,PPP1R13L/NPY2R/APLNR/CCN1/SFRP2/JAG1/BMPR1A/PKP2/FRS2/TMEM65/HEY2/SEMA3C,12
GO:0033690,GO:0033690,positive regulation of osteoblast proliferation,4/567,13/18614,0.00048915,0.015569626,0.012875804,LTF/CCN1/SOX8/ITGAV,4
GO:0060840,GO:0060840,artery development,11/567,109/18614,0.00049197,0.015569626,0.012875804,EGR2/APLNR/ADAMTS9/PRRX1/JAG1/BMPR1A/LDLR/MYLK/EDN1/NRP1/HEY2,11
GO:0019229,GO:0019229,regulation of vasoconstriction,8/567,61/18614,0.000501609,0.015580293,0.012884626,CD38/DOCK5/KCNA5/ADRA1A/CAV1/EDN1/PTGS2/ZDHHC21,8
GO:0046854,GO:0046854,phosphatidylinositol phosphate biosynthetic process,8/567,61/18614,0.000501609,0.015580293,0.012884626,IP6K3/SOCS3/PIP4K2A/HYCC1/SOCS6/SOCS4/PIKFYVE/PIK3C2A,8
GO:0048841,GO:0048841,regulation of axon extension involved in axon guidance,6/567,34/18614,0.000505729,0.015580293,0.012884626,SEMA3B/SEMA4A/SEMA5A/PLXNA4/NRP1/SEMA3C,6
GO:0051216,GO:0051216,cartilage development,16/567,203/18614,0.000506475,0.015580293,0.012884626,CD44/CHADL/SCIN/CCN1/SFRP2/EFEMP1/CCN2/PRRX1/BMPR1A/TWSG1/SOX6/EDN1/SNORC/SLC39A14/SMAD5/EVC,16
GO:0140353,GO:0140353,lipid export from cell,7/567,47/18614,0.000512019,0.015641482,0.012935227,NMB/SPP1/C1QTNF1/INHBA/ABCC4/EDN1/PTGS2,7
GO:0014812,GO:0014812,muscle cell migration,11/567,110/18614,0.000531938,0.016137901,0.013345757,SERPINE1/ITGA2/DOCK5/TRIB1/DDR2/BMPR1A/PRKG1/ADAMTS1/NRP1/PARVA/NR4A3,11
GO:0046823,GO:0046823,negative regulation of nucleocytoplasmic transport,5/567,23/18614,0.000549806,0.016500423,0.013645556,ANGPT1/CD36/BARD1/PKIA/RAB23,5
GO:0001936,GO:0001936,regulation of endothelial cell proliferation,15/567,185/18614,0.000558891,0.016500423,0.013645556,SPARC/CCL2/APLNR/APLN/SEMA5A/JUN/NR4A1/CAV1/EGR3/SCG2/NRP2/FLT1/IGF2/NRP1/PRKCA,15
GO:0045766,GO:0045766,positive regulation of angiogenesis,15/567,185/18614,0.000558891,0.016500423,0.013645556,AQP1/SERPINE1/APLNR/C3AR1/HK2/FGF1/SFRP2/ANGPTL4/CTSH/ITGAX/SEMA5A/FLT1/GAB1/NRP1/PRKCA,15
GO:1904018,GO:1904018,positive regulation of vasculature development,15/567,185/18614,0.000558891,0.016500423,0.013645556,AQP1/SERPINE1/APLNR/C3AR1/HK2/FGF1/SFRP2/ANGPTL4/CTSH/ITGAX/SEMA5A/FLT1/GAB1/NRP1/PRKCA,15
GO:0035633,GO:0035633,maintenance of blood-brain barrier,6/567,35/18614,0.000594831,0.017444417,0.014426222,ANGPT1/TJP2/MBP/JAM2/PTGS2/WNK3,6
GO:0097191,GO:0097191,extrinsic apoptotic signaling pathway,17/567,227/18614,0.000615406,0.017921903,0.014821095,SERPINE1/SRPX/ERBB3/SFRP2/AR/BOK/MAL/ATF3/RFFL/INHBA/HSPA1B/CAV1/SCG2/BAG3/ITGAV/NRP1/SKIL,17
GO:0007162,GO:0007162,negative regulation of cell adhesion,21/567,312/18614,0.000619261,0.017921903,0.014821095,FOXJ1/SERPINE1/ANGPT1/ADAMTS18/DUSP1/C1QTNF1/CD9/ERBB3/MBP/CD74/FZD7/SEMA5A/JAG1/TWSG1/PLXNA4/SOCS6/PAWR/PRKG1/SDC4/SERPINE2/AP1AR,21
GO:0033002,GO:0033002,muscle cell proliferation,18/567,249/18614,0.000653688,0.018700573,0.015465041,ANGPT1/FOS/ITGA2/ELN/LDLRAP1/APLN/TRIB1/JUN/DDR2/CALCRL/BMPR1A/EDN1/PTGS2/FRS2/PRKG1/ADAMTS1/HEY2/NR4A3,18
GO:0042310,GO:0042310,vasoconstriction,9/567,79/18614,0.000654669,0.018700573,0.015465041,CD38/DOCK5/KCNA5/ADRA1A/CAV1/EDN1/PTGS2/ZDHHC21/PIK3C2A,9
GO:0046850,GO:0046850,regulation of bone remodeling,7/567,49/18614,0.000663614,0.018714141,0.015476261,CD38/SPP1/TF/PDK4/IL20RA/LEPR/PRKCA,7
GO:0044344,GO:0044344,cellular response to fibroblast growth factor stimulus,11/567,113/18614,0.000668453,0.018714141,0.015476261,CD44/CCL2/FGF1/CCN2/APLN/SHISA2/HHIP/NR4A1/EGR3/FRS2/SPRY2,11
GO:2001233,GO:2001233,regulation of apoptotic signaling pathway,24/567,381/18614,0.000675254,0.018714141,0.015476261,CD44/SERPINE1/SRPX/NUPR1/SFRP2/IL20RA/CD74/AR/BOK/CTSH/MAL/ATF3/RFFL/INHBA/HSPA1B/CAV1/SCG2/PTGS2/ITGAV/GSDME/TPD52L1/NRP1/SKIL/BMI1,24
GO:0045932,GO:0045932,negative regulation of muscle contraction,5/567,24/18614,0.000677242,0.018714141,0.015476261,DOCK5/CALCRL/PTGS2/GUCY1A1/PRKG1,5
GO:0007409,GO:0007409,axonogenesis,26/567,427/18614,0.000680669,0.018714141,0.015476261,EGR2/SPP1/MAG/SEMA3B/CNP/MBP/KIF13B/SEMA4A/CNTN6/SEMA5A/PALLD/PARD3/RND2/NTN1/CNTN5/PAX6/TTC8/NRP2/PLXNA4/S100B/EDN1/FN1/PRKG1/NRP1/SKIL/SEMA3C,26
GO:0043434,GO:0043434,response to peptide hormone,26/567,427/18614,0.000680669,0.018714141,0.015476261,FOS/EGR2/PDK4/CCN2/BTG2/EGR1/SOCS3/PIP4K2A/ACVR1C/PCSK1/INHBA/DDR2/NR4A1/VGF/CAV1/LPL/EDN1/IGF2/PTGS2/GAB1/AHCYL1/BCAR3/SLC39A14/NR4A3/TCF12/PIK3C2A,26
GO:0010613,GO:0010613,positive regulation of cardiac muscle hypertrophy,6/567,36/18614,0.000695645,0.019007086,0.015718522,ADRA1A/IL6ST/EDN1/TWF1/PRKCA/NR4A3,6
GO:0070372,GO:0070372,regulation of ERK1 and ERK2 cascade,21/567,315/18614,0.000700574,0.019023621,0.015732196,CD44/ANGPT1/CCL2/CD36/CCN1/FGF1/CCN2/CD74/ADRA1A/GLIPR2/ATF3/JUN/INHBA/DDR2/PDGFC/FN1/FRS2/NRP1/PRKCA/CNKSR3/SPRY2,21
GO:0050920,GO:0050920,regulation of chemotaxis,17/567,230/18614,0.000713418,0.019253523,0.015922321,SERPINE1/CCL2/DUSP1/ITGA2/C3AR1/SEMA3B/C5AR2/FGF1/CD74/SEMA4A/SEMA5A/P2RY12/SCG2/PLXNA4/EDN1/NRP1/SEMA3C,17
GO:0048844,GO:0048844,artery morphogenesis,9/567,80/18614,0.000718132,0.019262579,0.01592981,ADAMTS9/PRRX1/JAG1/BMPR1A/LDLR/MYLK/EDN1/NRP1/HEY2,9
GO:0001503,GO:0001503,ossification,26/567,429/18614,0.000729049,0.019436879,0.016073953,LTF/TNC/EGR2/SPP1/WWTR1/CEBPD/SLC24A3/ID3/SMOC1/VCAN/JUNB/CCN1/SFRP2/CCN2/SOX8/GDPD2/TOB2/JAG1/DDR2/BMPR1A/TWSG1/IL6ST/IGF2/PTGS2/IGSF10/SMAD5,26
GO:0030195,GO:0030195,negative regulation of blood coagulation,7/567,50/18614,0.000751688,0.019919738,0.016473269,SERPINE1/ADAMTS18/C1QTNF1/CD9/EDN1/PRKG1/SERPINE2,7
GO:0001938,GO:0001938,positive regulation of endothelial cell proliferation,11/567,115/18614,0.000774745,0.020407805,0.016876892,APLNR/APLN/SEMA5A/JUN/NR4A1/EGR3/SCG2/NRP2/IGF2/NRP1/PRKCA,11
GO:0050769,GO:0050769,positive regulation of neurogenesis,17/567,232/18614,0.000785936,0.020579353,0.017018759,EGR2/NKX6-2/MAG/SOX10/ZNF488/SOX8/SEMA5A/RND2/NTN1/PAX6/IL6ST/PLXNA4/FN1/NRP1/SKIL/SERPINE2/MAN2A1,17
GO:0014742,GO:0014742,positive regulation of muscle hypertrophy,6/567,37/18614,0.000809183,0.020959497,0.017333131,ADRA1A/IL6ST/EDN1/TWF1/PRKCA/NR4A3,6
GO:0061564,GO:0061564,axon development,28/567,479/18614,0.000809983,0.020959497,0.017333131,TNC/EGR2/SPP1/MAG/SEMA3B/CNP/MBP/KIF13B/SEMA4A/CNTN6/SEMA5A/JUN/PALLD/PARD3/RND2/NTN1/CNTN5/PAX6/TTC8/NRP2/PLXNA4/S100B/EDN1/FN1/PRKG1/NRP1/SKIL/SEMA3C,28
GO:0051146,GO:0051146,striated muscle cell differentiation,20/567,297/18614,0.000822113,0.020991677,0.017359743,MYLK3/FLNC/LDB3/CD9/DOCK5/TANC1/ADRA1A/FZD7/JAM2/SGCB/BMPR1A/BHLHE41/SOX6/EDN1/CSRP2/IGF2/EHD2/FRS2/HEY2/PTGFRN,20
GO:0003148,GO:0003148,outflow tract septum morphogenesis,5/567,25/18614,0.000825542,0.020991677,0.017359743,BMPR1A/NRP2/NRP1/PARVA/SEMA3C,5
GO:0031579,GO:0031579,membrane raft organization,5/567,25/18614,0.000825542,0.020991677,0.017359743,FA2H/S100A10/MAL/COLEC12/CAV1,5
GO:0032970,GO:0032970,regulation of actin filament-based process,24/567,387/18614,0.000839326,0.021219503,0.017548151,MYLK3/KANK4/DAAM2/PDPN/SCIN/ELN/S100A10/CTNNA3/CCN2/RHOG/SEMA5A/CAV1/PLEKHH2/EPS8/GMFB/TTC8/PKP2/EDN1/TWF1/FRMD6/NRP1/SDC4/AP1AR/ID1,24
GO:1900047,GO:1900047,negative regulation of hemostasis,7/567,51/18614,0.000848754,0.021335241,0.017643865,SERPINE1/ADAMTS18/C1QTNF1/CD9/EDN1/PRKG1/SERPINE2,7
GO:0072001,GO:0072001,renal system development,21/567,320/18614,0.000856686,0.021412287,0.01770758,AQP1/FOXJ1/ANGPT1/WWTR1/ID3/FGF1/LGR5/MYO1E/EGR1/CTSH/SOX8/VANGL2/FREM2/JAG1/PLCE1/TTC8/NFIA/ADAMTS1/NRP1/SMAD5/SDC4,21
